,problem,correctAnswer,userAnswer,drawingImageName,solutionId
0,"""Beräkna.\n\n$489+172=$"". Problem image: En tabell uppdelad i tre kolumner och två rader för att visa addition. I den översta raden finns siffrorna 4, 8 och 9. I den nedersta raden står ett plustecken följt av siffrorna 1, 7 och 2. En blå horisontell linje är under den andra raden.","[""661""]","[""660""]",0438dd40-8be2-11ef-84bb-f7c6f4fa4c4d.jpg,670ff450c7690c93539b81ec
1,"""Använd huvudräkning och skriv bara svaret. \n\nhälften av $42$""","[""21""]","[""[[42]/2]21""]",5d9028b0-8ba8-11ef-82a0-dbe440e30e9b.jpg,670f9397937d76225e4b5250
2,"""Markera och skriv talen $\\Large\\frac{1}{10}$ och $\\Large\\frac{4}{5}$ på tallinjen.""","[""Klar""]","[""Klar""]",12a5bcc0-8b9e-11ef-a683-9347464e5677.jpg,670f8252937d76225e461cbf
3,"""Använd huvudräkning och skriv bara svaret.""","[""111""]","[""121""]",d29894c0-8bae-11ef-8c89-8744d2eb56a3.jpg,670f9e6d4e73b7bed2b39a99
4,"""Visa hur du löser uppgiften.\n\n${\\Large \\frac{105}{5}}= $""","[""21""]","[""105""]",4d876690-8bb7-11ef-ae23-396c0492322f.jpg,670faca6c822f8793eb63fee
5,"""En snögubbe har ett midjemått på 154 cm. Solen smälter snögubben. På två timmar ändras snögubbens midjemått med $-8$ cm. \n\nOm midjemåttet fortsätter minska i samma takt, vad är då snögubbens midjemått efter 7 timmar?"". Problem image: En illustration av en snögubbe.","[""126cm""]","[""-28""]",5c346c70-8bac-11ef-82a0-dbe440e30e9b.jpg,670f9a4bc822f8793eb09988
6,"""Visa hur du löser uppgiften.\n\n$541 - 174 = $""","[""367""]","[""697""]",de9f35e0-89fa-11ef-b88c-89f35e35a4be.jpg,670cc3059b700256131769ea
7,"""Beräkna. Förläng bråket så att nämnaren blir ett heltal. \n\n${\\Large \\frac{7{,}5}{0{,}3  }}= $""","[""25""]","[""2,5""]",556e76c0-8b97-11ef-aef4-4f35bc08ff41.jpg,670f770473df73cd484ee79b
8,"""${1{,}6}-{0{,}9}=$""","[""0,7""]","[""1,3""]",5ceac870-87ac-11ef-ada8-d7c86385f5e1.jpg,6708e44f3617e5f5b550d5ea
9,"""\n\nHur mycket är tre fjärdedelar av $8$?""","[""6""]","[""12""]",a024fa30-87ab-11ef-85ba-750dc8a615a4.jpg,6708e312fe8cab6443470f3b
10,"""Visa hur du löser uppgiften.\n\n${\\Large\\frac{4}{6}}-{\\Large\\frac{1}{3}}=$""","[""[1/3]""]","[""6""]",e866a060-87cd-11ef-b414-dbd5692fecfe.jpg,67091c97a346466ccf4aec70
